Action,Time,Sensor,Opened,"December 01, 2016 at 08:11PM",Second door sensor
Closed,"December 04, 2016 at 03:28PM",Second door sensor
Opened,"December 05, 2016 at 05:25AM",Second door sensor
Closed,"December 05, 2016 at 05:25AM",Second door sensor
Opened,"December 06, 2016 at 01:57AM",Second door sensor
Closed,"December 06, 2016 at 01:57AM",Second door sensor
Opened,"December 06, 2016 at 02:03AM",Second door sensor
Closed,"December 06, 2016 at 02:03AM",Second door sensor
Opened,"December 06, 2016 at 10:29AM",Second door sensor
Closed,"December 06, 2016 at 10:30AM",Second door sensor
Motion,"December 06, 2016 at 10:30AM",Motion Sensor
Motion,"December 06, 2016 at 10:31AM",Motion Sensor
Opened,"December 06, 2016 at 10:35AM",Second door sensor
Motion,"December 06, 2016 at 10:35AM",Motion Sensor
Closed,"December 06, 2016 at 10:35AM",Second door sensor
Motion,"December 06, 2016 at 10:35AM",Motion Sensor
Motion,"December 06, 2016 at 10:36AM",Motion Sensor
Motion,"December 06, 2016 at 10:39AM",Motion Sensor
Motion,"December 06, 2016 at 10:39AM",Motion Sensor
Motion,"December 06, 2016 at 10:42AM",Motion Sensor
Opened,"December 06, 2016 at 10:43AM",Second door sensor
Closed,"December 06, 2016 at 10:44AM",Second door sensor
Motion,"December 06, 2016 at 10:44AM",Motion Sensor
Motion,"December 06, 2016 at 10:44AM",Motion Sensor
Motion,"December 06, 2016 at 10:46AM",Motion Sensor
Motion,"December 06, 2016 at 10:49AM",Motion Sensor
Motion,"December 06, 2016 at 10:59AM",Motion Sensor
Motion,"December 06, 2016 at 11:01AM",Motion Sensor
Motion,"December 06, 2016 at 11:01AM",Motion Sensor
Motion,"December 06, 2016 at 11:02AM",Motion Sensor
Motion,"December 06, 2016 at 11:07AM",Motion Sensor
Motion,"December 06, 2016 at 11:07AM",Motion Sensor
Motion,"December 06, 2016 at 11:07AM",Motion Sensor
Motion,"December 06, 2016 at 11:12AM",Motion Sensor
Motion,"December 06, 2016 at 11:12AM",Motion Sensor
Motion,"December 06, 2016 at 11:21AM",Motion Sensor
Motion,"December 06, 2016 at 11:21AM",Motion Sensor
Motion,"December 06, 2016 at 11:21AM",Motion Sensor
Motion,"December 06, 2016 at 11:22AM",Motion Sensor
Motion,"December 06, 2016 at 11:22AM",Motion Sensor
Opened,"December 06, 2016 at 11:22AM",Second door sensor
Closed,"December 06, 2016 at 11:22AM",Second door sensor
Motion,"December 06, 2016 at 11:23AM",Motion Sensor
Motion,"December 06, 2016 at 11:23AM",Motion Sensor
Motion,"December 06, 2016 at 11:25AM",Motion Sensor
Motion,"December 06, 2016 at 11:25AM",Motion Sensor
Motion,"December 06, 2016 at 11:26AM",Motion Sensor
Motion,"December 06, 2016 at 11:26AM",Motion Sensor
Motion,"December 06, 2016 at 11:45AM",Motion Sensor
Motion,"December 06, 2016 at 11:48AM",Motion Sensor
Motion,"December 06, 2016 at 11:48AM",Motion Sensor
Motion,"December 06, 2016 at 11:49AM",Motion Sensor
Opened,"December 06, 2016 at 11:49AM",Second door sensor
Closed,"December 06, 2016 at 11:49AM",Second door sensor
Motion,"December 06, 2016 at 11:52AM",Motion Sensor
Motion,"December 06, 2016 at 11:53AM",Motion Sensor
Opened,"December 06, 2016 at 11:57AM",Second door sensor
Motion,"December 06, 2016 at 11:57AM",Motion Sensor
Closed,"December 06, 2016 at 11:57AM",Second door sensor
Motion,"December 06, 2016 at 11:58AM",Motion Sensor
Motion,"December 06, 2016 at 11:58AM",Motion Sensor
Motion,"December 06, 2016 at 11:59AM",Motion Sensor
Motion,"December 06, 2016 at 12:00PM",Motion Sensor
Motion,"December 06, 2016 at 12:01PM",Motion Sensor
Motion,"December 06, 2016 at 12:02PM",Motion Sensor
Motion,"December 06, 2016 at 12:03PM",Motion Sensor
Motion,"December 06, 2016 at 12:05PM",Motion Sensor
Motion,"December 06, 2016 at 12:07PM",Motion Sensor
Motion,"December 06, 2016 at 12:09PM",Motion Sensor
Motion,"December 06, 2016 at 12:22PM",Motion Sensor
Motion,"December 06, 2016 at 12:29PM",Motion Sensor
Motion,"December 06, 2016 at 12:29PM",Motion Sensor
Motion,"December 06, 2016 at 12:30PM",Motion Sensor
Motion,"December 06, 2016 at 12:35PM",Motion Sensor
Motion,"December 06, 2016 at 12:43PM",Motion Sensor
Motion,"December 06, 2016 at 12:55PM",Motion Sensor
Motion,"December 06, 2016 at 12:56PM",Motion Sensor
Motion,"December 06, 2016 at 12:56PM",Motion Sensor
Motion,"December 06, 2016 at 12:58PM",Motion Sensor
Motion,"December 06, 2016 at 12:59PM",Motion Sensor
Motion,"December 06, 2016 at 12:59PM",Motion Sensor
Motion,"December 06, 2016 at 01:00PM",Motion Sensor
Motion,"December 06, 2016 at 01:01PM",Motion Sensor
Motion,"December 06, 2016 at 01:13PM",Motion Sensor
Motion,"December 06, 2016 at 01:15PM",Motion Sensor
Motion,"December 06, 2016 at 01:16PM",Motion Sensor
Motion,"December 06, 2016 at 01:20PM",Motion Sensor
Motion,"December 06, 2016 at 01:23PM",Motion Sensor
Motion,"December 06, 2016 at 01:24PM",Motion Sensor
Motion,"December 06, 2016 at 01:24PM",Motion Sensor
Motion,"December 06, 2016 at 01:26PM",Motion Sensor
Motion,"December 06, 2016 at 01:27PM",Motion Sensor
Motion,"December 06, 2016 at 01:42PM",Motion Sensor
Opened,"December 06, 2016 at 01:42PM",Second door sensor
Closed,"December 06, 2016 at 01:42PM",Second door sensor
Motion,"December 06, 2016 at 01:43PM",Motion Sensor
Opened,"December 06, 2016 at 01:43PM",Second door sensor
Closed,"December 06, 2016 at 01:44PM",Second door sensor
Opened,"December 06, 2016 at 01:44PM",Second door sensor
Motion,"December 06, 2016 at 01:44PM",Motion Sensor
Closed,"December 06, 2016 at 01:44PM",Second door sensor
Motion,"December 06, 2016 at 01:46PM",Motion Sensor
Motion,"December 06, 2016 at 01:47PM",Motion Sensor
Motion,"December 06, 2016 at 01:47PM",Motion Sensor
Motion,"December 06, 2016 at 01:48PM",Motion Sensor
Opened,"December 06, 2016 at 01:48PM",Second door sensor
Closed,"December 06, 2016 at 01:48PM",Second door sensor
Motion,"December 06, 2016 at 01:49PM",Motion Sensor
Motion,"December 06, 2016 at 01:49PM",Motion Sensor
Motion,"December 06, 2016 at 01:49PM",Motion Sensor
Motion,"December 06, 2016 at 01:50PM",Motion Sensor
Motion,"December 06, 2016 at 01:51PM",Motion Sensor
Motion,"December 06, 2016 at 01:52PM",Motion Sensor
Motion,"December 06, 2016 at 01:53PM",Motion Sensor
Motion,"December 06, 2016 at 01:56PM",Motion Sensor
Motion,"December 06, 2016 at 01:57PM",Motion Sensor
Motion,"December 06, 2016 at 01:57PM",Motion Sensor
Opened,"December 06, 2016 at 01:57PM",Second door sensor
Closed,"December 06, 2016 at 01:58PM",Second door sensor
Motion,"December 06, 2016 at 01:59PM",Motion Sensor
Motion,"December 06, 2016 at 02:01PM",Motion Sensor
Motion,"December 06, 2016 at 02:10PM",Motion Sensor
Motion,"December 06, 2016 at 02:34PM",Motion Sensor
Motion,"December 06, 2016 at 02:44PM",Motion Sensor
Opened,"December 06, 2016 at 02:52PM",Second door sensor
Motion,"December 06, 2016 at 02:52PM",Motion Sensor
Closed,"December 06, 2016 at 02:52PM",Second door sensor
Motion,"December 06, 2016 at 02:53PM",Motion Sensor
Motion,"December 06, 2016 at 02:54PM",Motion Sensor
Motion,"December 06, 2016 at 02:55PM",Motion Sensor
Motion,"December 06, 2016 at 02:56PM",Motion Sensor
Motion,"December 06, 2016 at 02:56PM",Motion Sensor
Motion,"December 06, 2016 at 02:57PM",Motion Sensor
Motion,"December 06, 2016 at 02:57PM",Motion Sensor
Opened,"December 06, 2016 at 02:58PM",Second door sensor
Closed,"December 06, 2016 at 02:58PM",Second door sensor
Opened,"December 06, 2016 at 03:34PM",Second door sensor
Motion,"December 06, 2016 at 03:34PM",Motion Sensor
Closed,"December 06, 2016 at 03:34PM",Second door sensor
Opened,"December 06, 2016 at 04:40PM",Second door sensor
Closed,"December 06, 2016 at 04:41PM",Second door sensor
Motion,"December 06, 2016 at 05:01PM",Motion Sensor
Opened,"December 06, 2016 at 05:01PM",Second door sensor
Closed,"December 06, 2016 at 05:01PM",Second door sensor
Opened,"December 06, 2016 at 05:07PM",Second door sensor
Motion,"December 06, 2016 at 05:07PM",Motion Sensor
Closed,"December 06, 2016 at 05:07PM",Second door sensor
Motion,"December 06, 2016 at 05:10PM",Motion Sensor
Opened,"December 06, 2016 at 05:10PM",Second door sensor
Closed,"December 06, 2016 at 05:11PM",Second door sensor
Opened,"December 06, 2016 at 06:36PM",Second door sensor
Closed,"December 06, 2016 at 06:36PM",Second door sensor
Motion,"December 06, 2016 at 06:36PM",Motion Sensor
Motion,"December 06, 2016 at 06:37PM",Motion Sensor
