Action,Time,Sensor,
Movement,"October 27, 2016 at 03:29PM",Motion Sensor,
Movement,"October 27, 2016 at 03:31PM",Motion Sensor,
Movement,"October 27, 2016 at 03:32PM",Motion Sensor,
Movement,"October 27, 2016 at 03:32PM",Motion Sensor,
Movement,"October 27, 2016 at 03:33PM",Motion Sensor,
Movement,"October 27, 2016 at 03:34PM",Motion Sensor,
Movement,"October 27, 2016 at 03:34PM",Motion Sensor,
Movement,"October 27, 2016 at 03:35PM",Motion Sensor,
Movement,"October 27, 2016 at 03:35PM",Motion Sensor,
Movement,"October 27, 2016 at 03:35PM",Motion Sensor,
Movement,"October 27, 2016 at 03:36PM",Motion Sensor,
Movement,"October 27, 2016 at 03:36PM",Motion Sensor,
Movement,"October 27, 2016 at 03:37PM",Motion Sensor,
Movement,"October 27, 2016 at 03:37PM",Motion Sensor,
Movement,"October 27, 2016 at 03:38PM",Motion Sensor,
Movement,"October 27, 2016 at 03:38PM",Motion Sensor,
Movement,"October 27, 2016 at 03:38PM",Motion Sensor,
Movement,"October 27, 2016 at 03:39PM",Motion Sensor,
Movement,"October 27, 2016 at 03:39PM",Motion Sensor,
Movement,"October 27, 2016 at 03:42PM",Motion Sensor,
Movement,"October 27, 2016 at 03:43PM",Motion Sensor,
Movement,"October 27, 2016 at 03:43PM",Motion Sensor,
Movement,"October 27, 2016 at 03:44PM",Motion Sensor,
Movement,"October 27, 2016 at 03:47PM",Motion Sensor,
Movement,"October 27, 2016 at 03:47PM",Motion Sensor,
Movement,"October 27, 2016 at 03:48PM",Motion Sensor,
Movement,"October 27, 2016 at 03:49PM",Motion Sensor,
Movement,"October 27, 2016 at 03:49PM",Motion Sensor,
Movement,"October 27, 2016 at 03:49PM",Motion Sensor,
Movement,"October 27, 2016 at 03:49PM",Motion Sensor,
Movement,"October 27, 2016 at 03:50PM",Motion Sensor,
Movement,"October 27, 2016 at 03:50PM",Motion Sensor,
Movement,"October 27, 2016 at 03:50PM",Motion Sensor,
Movement,"October 27, 2016 at 03:51PM",Motion Sensor,
Movement,"October 27, 2016 at 03:52PM",Motion Sensor,
Movement,"October 27, 2016 at 03:52PM",Motion Sensor,
Movement,"October 27, 2016 at 03:53PM",Motion Sensor,
Movement,"October 27, 2016 at 03:56PM",Motion Sensor,
Movement,"October 27, 2016 at 03:56PM",Motion Sensor,
Movement,"October 27, 2016 at 03:56PM",Motion Sensor,
Movement,"October 27, 2016 at 03:59PM",Motion Sensor,
Movement,"October 27, 2016 at 04:00PM",Motion Sensor,
Movement,"October 27, 2016 at 04:00PM",Motion Sensor,
Movement,"October 27, 2016 at 04:01PM",Motion Sensor,
Movement,"October 27, 2016 at 04:02PM",Motion Sensor,
Open,"October 27, 2016 at 04:02PM",Wireless Lab door,
Closed,"October 27, 2016 at 04:02PM",Wireless Lab door,
Movement,"October 27, 2016 at 04:04PM",Motion Sensor,
Movement,"October 27, 2016 at 04:05PM",Motion Sensor,
Closed,"October 27, 2016 at 04:06PM",Wireless Lab door,
Movement,"October 27, 2016 at 04:08PM",Motion Sensor,
Movement,"October 27, 2016 at 04:09PM",Motion Sensor,
Movement,"October 27, 2016 at 04:09PM",Motion Sensor,
Movement,"October 27, 2016 at 04:09PM",Motion Sensor,
Movement,"October 27, 2016 at 04:10PM",Motion Sensor,
Movement,"October 27, 2016 at 04:10PM",Motion Sensor,
Movement,"October 27, 2016 at 04:12PM",Motion Sensor,
Movement,"October 27, 2016 at 04:13PM",Motion Sensor,
Movement,"October 27, 2016 at 04:14PM",Motion Sensor,
Movement,"October 27, 2016 at 04:14PM",Motion Sensor,
Movement,"October 27, 2016 at 04:15PM",Motion Sensor,
Movement,"October 27, 2016 at 04:16PM",Motion Sensor,
Movement,"October 27, 2016 at 04:16PM",Motion Sensor,
Movement,"October 27, 2016 at 04:17PM",Motion Sensor,
Open,"October 27, 2016 at 04:17PM",Wireless Lab door,
Movement,"October 27, 2016 at 04:18PM",Motion Sensor,
Closed,"October 27, 2016 at 04:19PM",Wireless Lab door,
Movement,"October 27, 2016 at 04:20PM",Motion Sensor,
Movement,"October 27, 2016 at 04:22PM",Motion Sensor,
Movement,"October 27, 2016 at 04:22PM",Motion Sensor,
Closed,"October 27, 2016 at 04:22PM",Wireless Lab door,
Movement,"October 27, 2016 at 04:23PM",Motion Sensor,
Movement,"October 27, 2016 at 04:24PM",Motion Sensor,
Movement,"October 27, 2016 at 04:24PM",Motion Sensor,
Movement,"October 27, 2016 at 04:25PM",Motion Sensor,
Movement,"October 27, 2016 at 04:25PM",Motion Sensor,
Movement,"October 27, 2016 at 04:26PM",Motion Sensor,
Closed,"October 27, 2016 at 04:26PM",Wireless Lab door,
Open,"October 27, 2016 at 04:26PM",Wireless Lab door,
Closed,"October 27, 2016 at 04:26PM",Wireless Lab door,
Movement,"October 27, 2016 at 04:27PM",Motion Sensor,
Movement,"October 27, 2016 at 04:27PM",Motion Sensor,
Movement,"October 27, 2016 at 04:29PM",Motion Sensor,
Closed,"October 27, 2016 at 04:29PM",Wireless Lab door,
Open,"October 27, 2016 at 04:30PM",Wireless Lab door,
Closed,"October 27, 2016 at 04:30PM",Wireless Lab door,
Closed,"October 27, 2016 at 04:31PM",Wireless Lab door,
Open,"October 27, 2016 at 04:31PM",Wireless Lab door,
Closed,"October 27, 2016 at 04:31PM",Wireless Lab door,
Movement,"October 27, 2016 at 04:32PM",Motion Sensor,
Movement,"October 27, 2016 at 04:32PM",Motion Sensor,
Movement,"October 27, 2016 at 04:33PM",Motion Sensor,
Movement,"October 27, 2016 at 04:33PM",Motion Sensor,
Movement,"October 27, 2016 at 04:33PM",Motion Sensor,
Movement,"October 27, 2016 at 04:34PM",Motion Sensor,
Movement,"October 27, 2016 at 04:34PM",Motion Sensor,
Movement,"October 27, 2016 at 04:35PM",Motion Sensor,
Movement,"October 27, 2016 at 04:35PM",Motion Sensor,
Movement,"October 27, 2016 at 04:35PM",Motion Sensor,
Movement,"October 27, 2016 at 04:36PM",Motion Sensor,
Open,"October 27, 2016 at 04:41PM",Wireless Lab door,
Movement,"October 27, 2016 at 04:41PM",Motion Sensor,
Closed,"October 27, 2016 at 04:42PM",Wireless Lab door,
Movement,"October 27, 2016 at 04:46PM",Motion Sensor,
Movement,"October 27, 2016 at 04:48PM",Motion Sensor,
Closed,"October 27, 2016 at 04:49PM",Wireless Lab door,
Movement,"October 27, 2016 at 04:52PM",Motion Sensor,
Movement,"October 27, 2016 at 05:00PM",Motion Sensor,
Movement,"October 27, 2016 at 05:02PM",Motion Sensor,
Open,"October 27, 2016 at 05:08PM",Wireless Lab door,
Closed,"October 27, 2016 at 05:08PM",Wireless Lab door,
Movement,"October 27, 2016 at 05:08PM",Motion Sensor,
Movement,"October 27, 2016 at 05:08PM",Motion Sensor,
Movement,"October 27, 2016 at 05:09PM",Motion Sensor,
Movement,"October 27, 2016 at 05:09PM",Motion Sensor,
Open,"October 27, 2016 at 05:11PM",Wireless Lab door,
Movement,"October 27, 2016 at 05:12PM",Motion Sensor,
Movement,"October 27, 2016 at 05:13PM",Motion Sensor,
Movement,"October 27, 2016 at 05:13PM",Motion Sensor,
Movement,"October 27, 2016 at 05:13PM",Motion Sensor,
Movement,"October 27, 2016 at 05:14PM",Motion Sensor,
Movement,"October 27, 2016 at 05:14PM",Motion Sensor,
Movement,"October 27, 2016 at 05:14PM",Motion Sensor,
Open,"October 27, 2016 at 05:14PM",Wireless Lab door,
Closed,"October 27, 2016 at 05:15PM",Wireless Lab door,
Movement,"October 27, 2016 at 05:15PM",Motion Sensor,
Movement,"October 27, 2016 at 05:15PM",Motion Sensor,
Movement,"October 27, 2016 at 05:16PM",Motion Sensor,
Closed,"October 27, 2016 at 05:16PM",Wireless Lab door,
Movement,"October 27, 2016 at 05:16PM",Motion Sensor,
Closed,"October 27, 2016 at 05:16PM",Wireless Lab door,
Movement,"October 27, 2016 at 05:17PM",Motion Sensor,
Closed,"October 27, 2016 at 05:17PM",Wireless Lab door,
Closed,"October 27, 2016 at 05:18PM",Wireless Lab door,
Movement,"October 27, 2016 at 05:19PM",Motion Sensor,
Closed,"October 27, 2016 at 05:19PM",Wireless Lab door,
Movement,"October 27, 2016 at 05:20PM",Motion Sensor,
Movement,"October 27, 2016 at 05:20PM",Motion Sensor,
Movement,"October 27, 2016 at 05:22PM",Motion Sensor,
Movement,"October 27, 2016 at 05:23PM",Motion Sensor,
Closed,"October 27, 2016 at 05:23PM",Wireless Lab door,
Movement,"October 27, 2016 at 05:24PM",Motion Sensor,
Movement,"October 27, 2016 at 05:25PM",Motion Sensor,
Movement,"October 27, 2016 at 05:26PM",Motion Sensor,
Open,"October 27, 2016 at 05:26PM",Wireless Lab door,
Closed,"October 27, 2016 at 05:26PM",Wireless Lab door,
Movement,"October 27, 2016 at 05:27PM",Motion Sensor,
Movement,"October 27, 2016 at 05:27PM",Motion Sensor,
Movement,"October 27, 2016 at 05:27PM",Motion Sensor,
Movement,"October 27, 2016 at 05:28PM",Motion Sensor,
Movement,"October 27, 2016 at 05:29PM",Motion Sensor,
Movement,"October 27, 2016 at 05:30PM",Motion Sensor,
Movement,"October 27, 2016 at 05:31PM",Motion Sensor,
Movement,"October 27, 2016 at 05:31PM",Motion Sensor,
Movement,"October 27, 2016 at 05:32PM",Motion Sensor,
Movement,"October 27, 2016 at 05:37PM",Motion Sensor,
Movement,"October 27, 2016 at 05:38PM",Motion Sensor,
Movement,"October 27, 2016 at 05:39PM",Motion Sensor,
Movement,"October 27, 2016 at 05:40PM",Motion Sensor,
Movement,"October 27, 2016 at 05:42PM",Motion Sensor,
Movement,"October 27, 2016 at 05:46PM",Motion Sensor,
Movement,"October 27, 2016 at 05:47PM",Motion Sensor,
Movement,"October 27, 2016 at 05:47PM",Motion Sensor,
Movement,"October 27, 2016 at 05:47PM",Motion Sensor,
Closed,"October 27, 2016 at 05:48PM",Wireless Lab door,
Movement,"October 27, 2016 at 05:48PM",Motion Sensor,
Movement,"October 27, 2016 at 05:48PM",Motion Sensor,
Closed,"October 27, 2016 at 05:49PM",Wireless Lab door,
Open,"October 27, 2016 at 05:49PM",Wireless Lab door,
Closed,"October 27, 2016 at 05:49PM",Wireless Lab door,
Movement,"October 27, 2016 at 05:50PM",Motion Sensor,
Movement,"October 27, 2016 at 05:50PM",Motion Sensor,
Movement,"October 27, 2016 at 05:51PM",Motion Sensor,
Movement,"October 27, 2016 at 05:52PM",Motion Sensor,
Movement,"October 27, 2016 at 05:52PM",Motion Sensor,
Open,"October 27, 2016 at 05:52PM",Wireless Lab door,
Closed,"October 27, 2016 at 05:52PM",Wireless Lab door,
Open,"October 27, 2016 at 05:53PM",Wireless Lab door,
Closed,"October 27, 2016 at 05:53PM",Wireless Lab door,
Movement,"October 27, 2016 at 05:54PM",Motion Sensor,
Open,"October 27, 2016 at 05:54PM",Wireless Lab door,
Closed,"October 27, 2016 at 05:55PM",Wireless Lab door,
Movement,"October 27, 2016 at 07:02PM",Motion Sensor,
Closed,"October 27, 2016 at 07:02PM",Wireless Lab door,
Movement,"October 27, 2016 at 07:04PM",Motion Sensor,
Open,"October 27, 2016 at 07:04PM",Wireless Lab door,
Movement,"October 27, 2016 at 07:04PM",Motion Sensor,
Closed,"October 27, 2016 at 07:05PM",Wireless Lab door,
Movement,"October 27, 2016 at 07:58PM",Motion Sensor,
Closed,"October 27, 2016 at 07:59PM",Wireless Lab door,
Open,"October 27, 2016 at 07:59PM",Wireless Lab door,
Movement,"October 27, 2016 at 08:03PM",Motion Sensor,
Movement,"October 27, 2016 at 08:04PM",Motion Sensor,
Movement,"October 27, 2016 at 08:05PM",Motion Sensor,
Movement,"October 27, 2016 at 08:05PM",Motion Sensor,
Movement,"October 27, 2016 at 08:06PM",Motion Sensor,
Movement,"October 27, 2016 at 08:12PM",Motion Sensor,
Movement,"October 27, 2016 at 08:12PM",Motion Sensor,
Movement,"October 27, 2016 at 08:16PM",Motion Sensor,
Movement,"October 27, 2016 at 08:17PM",Motion Sensor,
Movement,"October 27, 2016 at 08:19PM",Motion Sensor,
Movement,"October 27, 2016 at 08:20PM",Motion Sensor,
Movement,"October 27, 2016 at 08:21PM",Motion Sensor,
Movement,"October 27, 2016 at 08:30PM",Motion Sensor,
Movement,"October 27, 2016 at 08:30PM",Motion Sensor,
Movement,"October 27, 2016 at 08:32PM",Motion Sensor,
Movement,"October 27, 2016 at 08:33PM",Motion Sensor,
Movement,"October 27, 2016 at 08:41PM",Motion Sensor,
Movement,"October 27, 2016 at 08:45PM",Motion Sensor,
Movement,"October 27, 2016 at 08:46PM",Motion Sensor,
Movement,"October 27, 2016 at 08:46PM",Motion Sensor,
Movement,"October 27, 2016 at 08:47PM",Motion Sensor,
Movement,"October 27, 2016 at 08:48PM",Motion Sensor,
Movement,"October 27, 2016 at 08:48PM",Motion Sensor,
Movement,"October 27, 2016 at 08:49PM",Motion Sensor,
Movement,"October 27, 2016 at 08:49PM",Motion Sensor,
Movement,"October 27, 2016 at 08:50PM",Motion Sensor,
Movement,"October 27, 2016 at 08:52PM",Motion Sensor,
Movement,"October 27, 2016 at 08:53PM",Motion Sensor,
Movement,"October 27, 2016 at 08:53PM",Motion Sensor,
Movement,"October 27, 2016 at 08:53PM",Motion Sensor,
Movement,"October 27, 2016 at 08:55PM",Motion Sensor,
Movement,"October 27, 2016 at 08:55PM",Motion Sensor,
Movement,"October 27, 2016 at 08:56PM",Motion Sensor,
Movement,"October 27, 2016 at 08:57PM",Motion Sensor,
Movement,"October 27, 2016 at 08:58PM",Motion Sensor,
Movement,"October 27, 2016 at 08:58PM",Motion Sensor,
Movement,"October 27, 2016 at 09:03PM",Motion Sensor,
Movement,"October 27, 2016 at 09:03PM",Motion Sensor,
Movement,"October 27, 2016 at 09:04PM",Motion Sensor,
Movement,"October 27, 2016 at 09:04PM",Motion Sensor,
Movement,"October 27, 2016 at 09:05PM",Motion Sensor,
Movement,"October 27, 2016 at 09:06PM",Motion Sensor,
Movement,"October 27, 2016 at 09:07PM",Motion Sensor,
Movement,"October 27, 2016 at 09:07PM",Motion Sensor,
Movement,"October 27, 2016 at 09:08PM",Motion Sensor,
Movement,"October 27, 2016 at 09:08PM",Motion Sensor,
Movement,"October 27, 2016 at 09:10PM",Motion Sensor,
Movement,"October 27, 2016 at 09:10PM",Motion Sensor,
Movement,"October 27, 2016 at 09:11PM",Motion Sensor,
Movement,"October 27, 2016 at 09:12PM",Motion Sensor,
Movement,"October 27, 2016 at 09:12PM",Motion Sensor,
Movement,"October 27, 2016 at 09:13PM",Motion Sensor,
Movement,"October 27, 2016 at 09:14PM",Motion Sensor,
Movement,"October 27, 2016 at 09:15PM",Motion Sensor,
Movement,"October 27, 2016 at 09:15PM",Motion Sensor,
Movement,"October 27, 2016 at 09:15PM",Motion Sensor,
Movement,"October 27, 2016 at 09:17PM",Motion Sensor,
Movement,"October 27, 2016 at 09:17PM",Motion Sensor,
Movement,"October 27, 2016 at 09:17PM",Motion Sensor,
Movement,"October 27, 2016 at 09:18PM",Motion Sensor,
Movement,"October 27, 2016 at 09:18PM",Motion Sensor,
Movement,"October 27, 2016 at 09:19PM",Motion Sensor,
Movement,"October 27, 2016 at 09:19PM",Motion Sensor,
Movement,"October 27, 2016 at 09:19PM",Motion Sensor,
Movement,"October 27, 2016 at 09:20PM",Motion Sensor,
Movement,"October 27, 2016 at 09:22PM",Motion Sensor,
Movement,"October 27, 2016 at 09:24PM",Motion Sensor,
Movement,"October 27, 2016 at 09:24PM",Motion Sensor,
Movement,"October 27, 2016 at 09:25PM",Motion Sensor,
Movement,"October 27, 2016 at 09:26PM",Motion Sensor,
Movement,"October 27, 2016 at 09:26PM",Motion Sensor,
Movement,"October 27, 2016 at 09:27PM",Motion Sensor,
Movement,"October 27, 2016 at 09:27PM",Motion Sensor,
Movement,"October 27, 2016 at 09:29PM",Motion Sensor,
Movement,"October 27, 2016 at 09:29PM",Motion Sensor,
Movement,"October 27, 2016 at 09:33PM",Motion Sensor,
Movement,"October 27, 2016 at 09:34PM",Motion Sensor,
Movement,"October 27, 2016 at 09:34PM",Motion Sensor,
Movement,"October 27, 2016 at 09:40PM",Motion Sensor,
Movement,"October 27, 2016 at 09:41PM",Motion Sensor,
Movement,"October 27, 2016 at 09:41PM",Motion Sensor,
Movement,"October 27, 2016 at 09:42PM",Motion Sensor,
Movement,"October 27, 2016 at 09:42PM",Motion Sensor,
Movement,"October 27, 2016 at 09:43PM",Motion Sensor,
Movement,"October 27, 2016 at 09:44PM",Motion Sensor,
Movement,"October 27, 2016 at 09:44PM",Motion Sensor,
Movement,"October 27, 2016 at 09:46PM",Motion Sensor,
Movement,"October 27, 2016 at 09:46PM",Motion Sensor,
Movement,"October 27, 2016 at 09:46PM",Motion Sensor,
Movement,"October 27, 2016 at 09:47PM",Motion Sensor,
Movement,"October 27, 2016 at 09:48PM",Motion Sensor,
Movement,"October 27, 2016 at 09:50PM",Motion Sensor,
Movement,"October 27, 2016 at 09:52PM",Motion Sensor,
Movement,"October 27, 2016 at 09:52PM",Motion Sensor,
Movement,"October 27, 2016 at 09:53PM",Motion Sensor,
Movement,"October 27, 2016 at 09:54PM",Motion Sensor,
Movement,"October 27, 2016 at 09:54PM",Motion Sensor,
Movement,"October 27, 2016 at 09:54PM",Motion Sensor,
Movement,"October 27, 2016 at 09:55PM",Motion Sensor,
Movement,"October 27, 2016 at 09:56PM",Motion Sensor,
Movement,"October 27, 2016 at 09:56PM",Motion Sensor,
Movement,"October 27, 2016 at 09:59PM",Motion Sensor,
Movement,"October 27, 2016 at 09:59PM",Motion Sensor,
Movement,"October 27, 2016 at 10:01PM",Motion Sensor,
Movement,"October 27, 2016 at 10:01PM",Motion Sensor,
Movement,"October 27, 2016 at 10:02PM",Motion Sensor,
Movement,"October 27, 2016 at 10:02PM",Motion Sensor,
Movement,"October 27, 2016 at 10:04PM",Motion Sensor,
Movement,"October 27, 2016 at 10:04PM",Motion Sensor,
Movement,"October 27, 2016 at 10:04PM",Motion Sensor,
Movement,"October 27, 2016 at 10:05PM",Motion Sensor,
Movement,"October 27, 2016 at 10:06PM",Motion Sensor,
Movement,"October 27, 2016 at 10:07PM",Motion Sensor,
Movement,"October 27, 2016 at 10:07PM",Motion Sensor,
Movement,"October 27, 2016 at 10:07PM",Motion Sensor,
Movement,"October 27, 2016 at 10:08PM",Motion Sensor,
Movement,"October 27, 2016 at 10:09PM",Motion Sensor,
Movement,"October 27, 2016 at 10:10PM",Motion Sensor,
Movement,"October 27, 2016 at 10:11PM",Motion Sensor,
Movement,"October 27, 2016 at 10:11PM",Motion Sensor,
Movement,"October 27, 2016 at 10:12PM",Motion Sensor,
Movement,"October 27, 2016 at 10:12PM",Motion Sensor,
Movement,"October 27, 2016 at 10:13PM",Motion Sensor,
Movement,"October 27, 2016 at 10:13PM",Motion Sensor,
Movement,"October 27, 2016 at 10:14PM",Motion Sensor,
Movement,"October 27, 2016 at 10:15PM",Motion Sensor,
Movement,"October 27, 2016 at 10:15PM",Motion Sensor,
Movement,"October 27, 2016 at 10:15PM",Motion Sensor,
Movement,"October 27, 2016 at 10:17PM",Motion Sensor,
Movement,"October 27, 2016 at 10:17PM",Motion Sensor,
Movement,"October 27, 2016 at 10:18PM",Motion Sensor,
Movement,"October 27, 2016 at 10:19PM",Motion Sensor,
Movement,"October 27, 2016 at 10:21PM",Motion Sensor,
Movement,"October 27, 2016 at 10:22PM",Motion Sensor,
Movement,"October 27, 2016 at 10:22PM",Motion Sensor,
Movement,"October 27, 2016 at 10:22PM",Motion Sensor,
Movement,"October 27, 2016 at 10:23PM",Motion Sensor,
Movement,"October 27, 2016 at 10:23PM",Motion Sensor,
Movement,"October 27, 2016 at 10:23PM",Motion Sensor,
Movement,"October 27, 2016 at 10:24PM",Motion Sensor,
Movement,"October 27, 2016 at 10:24PM",Motion Sensor,
Movement,"October 27, 2016 at 10:25PM",Motion Sensor,
Movement,"October 27, 2016 at 10:25PM",Motion Sensor,
Movement,"October 27, 2016 at 10:25PM",Motion Sensor,
Movement,"October 27, 2016 at 10:26PM",Motion Sensor,
Movement,"October 27, 2016 at 10:26PM",Motion Sensor,
Movement,"October 27, 2016 at 10:27PM",Motion Sensor,
Movement,"October 27, 2016 at 10:27PM",Motion Sensor,
Movement,"October 27, 2016 at 10:28PM",Motion Sensor,
Movement,"October 27, 2016 at 10:30PM",Motion Sensor,
Movement,"October 27, 2016 at 10:30PM",Motion Sensor,
Movement,"October 27, 2016 at 10:32PM",Motion Sensor,
Movement,"October 27, 2016 at 10:32PM",Motion Sensor,
Movement,"October 27, 2016 at 10:32PM",Motion Sensor,
Movement,"October 27, 2016 at 10:33PM",Motion Sensor,
Movement,"October 27, 2016 at 10:33PM",Motion Sensor,
Movement,"October 27, 2016 at 10:34PM",Motion Sensor,
Movement,"October 27, 2016 at 10:35PM",Motion Sensor,
Movement,"October 27, 2016 at 10:37PM",Motion Sensor,
Movement,"October 27, 2016 at 10:37PM",Motion Sensor,
Movement,"October 27, 2016 at 10:38PM",Motion Sensor,
Movement,"October 27, 2016 at 10:39PM",Motion Sensor,
Movement,"October 27, 2016 at 10:41PM",Motion Sensor,
Movement,"October 27, 2016 at 10:42PM",Motion Sensor,
Movement,"October 27, 2016 at 10:42PM",Motion Sensor,
Movement,"October 27, 2016 at 10:42PM",Motion Sensor,
