Action,Time,Sensor,
Movement,"October 21, 2016 at 01:54PM",Motion Sensor,
Movement,"October 21, 2016 at 01:55PM",Motion Sensor,
Movement,"October 21, 2016 at 01:55PM",Motion Sensor,
Movement,"October 21, 2016 at 01:56PM",Motion Sensor,
Movement,"October 21, 2016 at 01:56PM",Motion Sensor,
Movement,"October 21, 2016 at 01:56PM",Motion Sensor,
Movement,"October 21, 2016 at 01:57PM",Motion Sensor,
Movement,"October 21, 2016 at 01:58PM",Motion Sensor,
Movement,"October 21, 2016 at 02:02PM",Motion Sensor,
Movement,"October 21, 2016 at 02:03PM",Motion Sensor,
Movement,"October 21, 2016 at 02:04PM",Motion Sensor,
Movement,"October 21, 2016 at 02:04PM",Motion Sensor,
Movement,"October 21, 2016 at 02:05PM",Motion Sensor,
Movement,"October 21, 2016 at 02:06PM",Motion Sensor,
Movement,"October 21, 2016 at 02:06PM",Motion Sensor,
Movement,"October 21, 2016 at 02:08PM",Motion Sensor,
Movement,"October 21, 2016 at 02:09PM",Motion Sensor,
Movement,"October 21, 2016 at 02:12PM",Motion Sensor,
Movement,"October 21, 2016 at 02:13PM",Motion Sensor,
Open,"October 21, 2016 at 02:13PM",Wireless Lab door,
Closed,"October 21, 2016 at 02:13PM",Wireless Lab door,
Movement,"October 21, 2016 at 02:13PM",Motion Sensor,
Movement,"October 21, 2016 at 02:13PM",Motion Sensor,
Open,"October 21, 2016 at 02:13PM",Wireless Lab door,
Closed,"October 21, 2016 at 02:14PM",Wireless Lab door,
Movement,"October 21, 2016 at 02:15PM",Motion Sensor,
Movement,"October 21, 2016 at 02:16PM",Motion Sensor,
Movement,"October 21, 2016 at 02:16PM",Motion Sensor,
Open,"October 21, 2016 at 02:24PM",Wireless Lab door,
Movement,"October 21, 2016 at 02:25PM",Motion Sensor,
Closed,"October 21, 2016 at 02:25PM",Wireless Lab door,
Movement,"October 21, 2016 at 02:25PM",Motion Sensor,
Movement,"October 21, 2016 at 02:26PM",Motion Sensor,
Movement,"October 21, 2016 at 02:27PM",Motion Sensor,
Movement,"October 21, 2016 at 02:28PM",Motion Sensor,
Movement,"October 21, 2016 at 02:29PM",Motion Sensor,
Movement,"October 21, 2016 at 02:29PM",Motion Sensor,
Movement,"October 21, 2016 at 02:29PM",Motion Sensor,
Open,"October 21, 2016 at 02:31PM",Wireless Lab door,
Movement,"October 21, 2016 at 02:31PM",Motion Sensor,
Closed,"October 21, 2016 at 02:31PM",Wireless Lab door,
Movement,"October 21, 2016 at 02:32PM",Motion Sensor,
Movement,"October 21, 2016 at 02:33PM",Motion Sensor,
Movement,"October 21, 2016 at 02:34PM",Motion Sensor,
Movement,"October 21, 2016 at 02:34PM",Motion Sensor,
Movement,"October 21, 2016 at 02:36PM",Motion Sensor,
Movement,"October 21, 2016 at 02:38PM",Motion Sensor,
Movement,"October 21, 2016 at 02:38PM",Motion Sensor,
Movement,"October 21, 2016 at 02:38PM",Motion Sensor,
Movement,"October 21, 2016 at 02:39PM",Motion Sensor,
Movement,"October 21, 2016 at 02:40PM",Motion Sensor,
Movement,"October 21, 2016 at 02:41PM",Motion Sensor,
Movement,"October 21, 2016 at 02:49PM",Motion Sensor,
Movement,"October 21, 2016 at 02:50PM",Motion Sensor,
Open,"October 21, 2016 at 02:50PM",Wireless Lab door,
Movement,"October 21, 2016 at 02:51PM",Motion Sensor,
Closed,"October 21, 2016 at 02:51PM",Wireless Lab door,
Movement,"October 21, 2016 at 02:52PM",Motion Sensor,
Movement,"October 21, 2016 at 02:52PM",Motion Sensor,
Movement,"October 21, 2016 at 02:53PM",Motion Sensor,
Movement,"October 21, 2016 at 02:54PM",Motion Sensor,
Movement,"October 21, 2016 at 02:55PM",Motion Sensor,
Movement,"October 21, 2016 at 02:55PM",Motion Sensor,
Movement,"October 21, 2016 at 02:57PM",Motion Sensor,
Movement,"October 21, 2016 at 02:57PM",Motion Sensor,
Movement,"October 21, 2016 at 02:58PM",Motion Sensor,
Open,"October 21, 2016 at 02:58PM",Wireless Lab door,
Movement,"October 21, 2016 at 02:59PM",Motion Sensor,
Closed,"October 21, 2016 at 02:59PM",Wireless Lab door,
Closed,"October 21, 2016 at 02:59PM",Wireless Lab door,
Movement,"October 21, 2016 at 02:59PM",Motion Sensor,
